,date,ConfirmedCases,DailyCases,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation,Population
508632,2020-06-22,8715,33.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
511974,2020-06-23,8736,21.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
515316,2020-06-24,8780,44.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
518658,2020-06-25,8825,45.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
522000,2020-06-26,8879,54.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
525342,2020-06-27,8919,40.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
528684,2020-06-28,8951,32.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
532026,2020-06-29,8993,42.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
535368,2020-06-30,9032,39.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
538710,2020-07-01,9083,51.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
542052,2020-07-02,9145,62.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
545394,2020-07-03,9192,47.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
548736,2020-07-04,9267,75.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
552078,2020-07-05,9311,44.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
555420,2020-07-06,9364,53.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
558762,2020-07-07,9392,28.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
562104,2020-07-08,9454,62.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
565446,2020-07-09,9502,48.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
568788,2020-07-10,9571,69.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
572130,2020-07-11,9641,70.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
575472,2020-07-12,9719,78.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
578814,2020-07-13,9794,75.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
582156,2020-07-14,9810,16.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
585498,2020-07-15,9867,57.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
588840,2020-07-16,9917,50.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
592182,2020-07-17,10013,96.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-43.aspx,"Ill. Exec. Order No. 2020-43 (June 26, 2020)",932877
